Nom;Prénom;ID;mail;Langues
ROBIN;Jade;;mia.ward@example.com;ALLEMAND
GARNIER;Lucas;;lucas.campbell@example.com;ALLEMAND
MOREAU;Camille;;isabella.foster@example.com;ALLEMAND
MASSON;Gabriel;;oliver.evans@example.com;ALLEMAND
MOREL;Louise;;ava.sullivan@example.com;ALLEMAND
LEFEBVRE;Léo;;michael.butler@example.com;ALLEMAND
LAURENT;Sarah;;grace.thomas@example.com;ALLEMAND
MOREL;Louis;;jacob.nguyen@example.com;ALLEMAND
PERRIN;Eva;;emma.parker@example.com;ALLEMAND
PERROT;Théo;;alexander.hall@example.com;ALLEMAND
REMY;Clara;;sophia.gray@example.com;ALLEMAND
GUILLAUME;Adam;;daniel.brooks@example.com;CHINOIS -débutant (jamais étudié)
DUPUIS;Juliette;;lily.roberts@example.com;CHINOIS -débutant (jamais étudié)
ROUSSEAU;Tom;;ethan.bell@example.com;CHINOIS -débutant (jamais étudié)
LEMAIRE;Rose;;mia.collins@example.com;CHINOIS -débutant (jamais étudié)
LEROY;Jules;;olivia.richardson@example.com;CHINOIS -débutant (jamais étudié)
BERNARD;Lina;;james.mitchell@example.com;CHINOIS -débutant (jamais étudié)
NICOLAS;Maël;;amelia.bennett@example.com;CHINOIS -débutant (jamais étudié)
PHILIPPE;Anna;;benjamin.james@example.com;CHINOIS -débutant (jamais étudié)
GIRARD;Enzo;;oliver.young@example.com;CHINOIS -débutant (jamais étudié)
BESNARD;Elsa;;william.murphy@example.com;CHINOIS -débutant (jamais étudié)
BESNARD;Raphaël;;emily.flores@example.com;CHINOIS -débutant (jamais étudié)
DUFOUR;Manon;;jack.hill@example.com;CHINOIS -débutant (jamais étudié)
BOUVIER;Nathan;;sophia.lopez@example.com;CHINOIS -débutant (jamais étudié)
GUYOT;Emma;;noah.russell@example.com;CHINOIS -débutant (jamais étudié)
HUET;Hugo;;lily.diaz@example.com;CHINOIS -débutant (jamais étudié)
ROUX;Inès;;logan.myers@example.com;CHINOIS -débutant (jamais étudié)
PARIS;Ethan;;mia.cole@example.com;CHINOIS -débutant (jamais étudié)
ANDRE;Chloé;;olivia.kelly@example.com;CHINOIS -débutant (jamais étudié)
DENIS;Noah;;lucas.henderson@example.com;CHINOIS -débutant (jamais étudié)
ROGER;Léa;;amelia.perry@example.com;CHINOIS -débutant (jamais étudié)
OLIVIER;Liam;;ethan.gomez@example.com;CHINOIS -débutant (jamais étudié)
THOMAS;Zoé;;sophia.mcdonald@example.com;CHINOIS -débutant (jamais étudié)
ROY;Arthur;;daniel.holmes@example.com;CHINOIS -débutant (jamais étudié)
SCHMITT;Jade;;emma.simpson@example.com;CHINOIS -débutant (jamais étudié)
LAURENT;Lucas;;alexander.cook@example.com;CHINOIS -débutant (jamais étudié)
HENRY;Camille;;grace.brooks@example.com;CHINOIS -débutant (jamais étudié)
CLÉMENT;Gabriel;;jacob.henry@example.com;CHINOIS -débutant (jamais étudié)
LUCAS;Louise;;mia.davis@example.com;CHINOIS -débutant (jamais étudié)
PELLETIER;Léo;;olivia.wright@example.com;CHINOIS -débutant (jamais étudié)
BOULANGER;Sarah;;james.wood@example.com;CHINOIS -débutant (jamais étudié)
FERREIRA;Louis;;lily.cruz@example.com;CHINOIS -débutant (jamais étudié)
PERRIN;Eva;;oliver.foster@example.com;CHINOIS -débutant (jamais étudié)
GALLET;Théo;;emily.perez@example.com;CHINOIS -débutant (jamais étudié)
GUERIN;Clara;;jack.bailey@example.com;CHINOIS -débutant (jamais étudié)
LUCAS;Adam;;sophia.hernandez@example.com;CHINOIS -débutant (jamais étudié)
MAILLARD;Juliette;;noah.dixon@example.com;CHINOIS -débutant (jamais étudié)
LEGER;Tom;;lily.long@example.com;CHINOIS -débutant (jamais étudié)
AUBERT;Rose;;logan.gordon@example.com;CHINOIS -débutant (jamais étudié)
LENOIR;Jules;;mia.fisher@example.com;ESPAGNOL -débutant (jamais étudié)
MULLER;Lina;;olivia.murray@example.com;ESPAGNOL -débutant (jamais étudié)
LECLERCQ;Maël;;lucas.owens@example.com;ESPAGNOL -débutant (jamais étudié)
LECLERC;Anna;;amelia.jordan@example.com;ESPAGNOL -débutant (jamais étudié)
MERCIER;Enzo;;ethan.brooks@example.com;ESPAGNOL -débutant (jamais étudié)
BLAISE;Elsa;;sophia.arnold@example.com;ESPAGNOL -débutant (jamais étudié)
GAUTHIER;Raphaël;;daniel.kim@example.com;ESPAGNOL -débutant (jamais étudié)
DELATTRE;Manon;;emma.willis@example.com;ESPAGNOL -débutant (jamais étudié)
MARCHAND;Nathan;;alexander.garcia@example.com;ESPAGNOL -débutant (jamais étudié)
LECLERC;Emma;;grace.pierce@example.com;ESPAGNOL -débutant (jamais étudié)
BARREAU;Hugo;;jacob.patterson@example.com;ESPAGNOL -débutant (jamais étudié)
COSTE;Inès;;mia.washington@example.com;ESPAGNOL -débutant (jamais étudié)
NOEL;Ethan;;olivia.richards@example.com;ESPAGNOL -débutant (jamais étudié)
OLIVIER;Chloé;;james.ramirez@example.com;ESPAGNOL -débutant (jamais étudié)
PETIT;Noah;;lily.myers@example.com;ESPAGNOL -débutant (jamais étudié)
GALLOIS;Léa;;oliver.brown@example.com;ESPAGNOL -débutant (jamais étudié)
MARCHAL;Liam;;emily.reyes@example.com;ESPAGNOL -débutant (jamais étudié)
PELTIER;Zoé;;jack.hall@example.com;ESPAGNOL -débutant (jamais étudié)
BARRE;Arthur;;sophia.stewart@example.com;ESPAGNOL -débutant (jamais étudié)
HENRY;Jade;;noah.wells@example.com;ESPAGNOL -débutant (jamais étudié)
CARLIER;Lucas;;lily.hudson@example.com;ESPAGNOL -débutant (jamais étudié)
GAUTIER;Camille;;logan.burns@example.com;ESPAGNOL -débutant (jamais étudié)
PRÉVOST;Gabriel;;mia.bryant@example.com;ESPAGNOL -débutant (jamais étudié)
MICHEL;Louise;;olivia.russell@example.com;ESPAGNOL -débutant (jamais étudié)
MASSON;Léo;;lucas.welch@example.com;ESPAGNOL -débutant (jamais étudié)
PETIT;Sarah;;amelia.warren@example.com;ESPAGNOL -débutant (jamais étudié)
BOURGEOIS;Louis;;ethan.fowler@example.com;ESPAGNOL -débutant (jamais étudié)
MOREAU;Eva;;sophia.knight@example.com;ESPAGNOL -débutant (jamais étudié)
BESNARD;Théo;;daniel.hayes@example.com;ESPAGNOL -débutant (jamais étudié)
MICHE;Clara;;emma.hanson@example.com;ESPAGNOL -débutant (jamais étudié)
